dataset,map_path,height,width,obstacle_rate,agent_count_nominal
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_1.npy,10,10,0.16,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_10.npy,10,10,0.18,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_100.npy,10,10,0.15,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_11.npy,10,10,0.21,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_12.npy,10,10,0.23,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_13.npy,10,10,0.15,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_14.npy,10,10,0.26,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_15.npy,10,10,0.21,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_16.npy,10,10,0.24,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_17.npy,10,10,0.16,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_18.npy,10,10,0.28,60
maps_60_10_10_0.175,data/maps_60_10_10_0.175/eval_map_19.npy,10,10,0.24,60
random_small,data/random_small/maps_50_10_10_0.175/eval_map_1.npy,10,10,0.16,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_10.npy,10,10,0.21,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_100.npy,10,10,0.15,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_11.npy,10,10,0.23,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_12.npy,10,10,0.15,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_13.npy,10,10,0.26,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_14.npy,10,10,0.21,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_15.npy,10,10,0.24,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_16.npy,10,10,0.16,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_17.npy,10,10,0.28,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_18.npy,10,10,0.24,50
random_small,data/random_small/maps_50_10_10_0.175/eval_map_19.npy,10,10,0.15,50
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_1.npy,25,25,0.1904,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_10.npy,25,25,0.1664,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_100.npy,25,25,0.1552,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_11.npy,25,25,0.1504,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_12.npy,25,25,0.184,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_13.npy,25,25,0.2096,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_14.npy,25,25,0.1664,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_15.npy,25,25,0.168,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_16.npy,25,25,0.1872,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_17.npy,25,25,0.1776,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_18.npy,25,25,0.192,312
random_medium,data/random_medium/maps_312_25_25_0.175/eval_map_19.npy,25,25,0.2032,312
maze,data/maze/maze_maps_125_25_25/eval_map_maze_1.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_10.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_100.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_11.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_12.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_13.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_14.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_15.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_16.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_17.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_18.npy,25,25,0.4576,125
maze,data/maze/maze_maps_125_25_25/eval_map_maze_19.npy,25,25,0.4576,125
room,data/room/room_maps_250_25_25/eval_map_room_1.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_10.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_11.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_12.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_13.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_14.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_15.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_16.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_17.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_18.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_19.npy,25,25,0.1952,250
room,data/room/room_maps_250_25_25/eval_map_room_2.npy,25,25,0.1952,250
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_1.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_10.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_100.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_11.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_12.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_13.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_14.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_15.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_16.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_17.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_18.npy,25,25,0.288,266
warehouse,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_19.npy,25,25,0.288,266
empty,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_13.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_14.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_15.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_16.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_17.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_18.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_19.npy,25,25,0.0,453
empty,data/empty/empty_maps_453_25_25/eval_map_empty_2.npy,25,25,0.0,453
