P_mw_normalized,I_mw_amplitude_nA,D_s_mw_experimental,resonance_freq_proxy_GHz
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.799999999999999822e+00
2.040816000000000158e-02,2.857738030000000151e+00,9.996555236999999750e+01,5.799000932683835430e+00
4.081632999999999789e-02,4.040816330000000178e+00,9.988725512999999978e+01,5.796729476673204040e+00
6.122448999999999947e-02,4.949747470000000149e+00,9.978282278000000360e+01,5.793698437370726317e+00
8.163265000000000104e-02,5.714476059999999968e+00,9.964829842999999698e+01,5.789791670850687133e+00
1.020408200000000043e-01,6.388061170000000288e+00,9.949441822000000002e+01,5.785319549446512610e+00
1.224489799999999989e-01,7.000000000000000000e+00,9.932227910000000293e+01,5.780312680923065827e+00
1.428571399999999936e-01,7.564977279999999915e+00,9.913731067000000508e+01,5.774927818543535096e+00
1.632653099999999968e-01,8.092847130000000888e+00,9.894242671000000655e+01,5.769248854508184365e+00
1.836734700000000053e-01,8.590169939999999116e+00,9.873958297000000073e+01,5.763331997300519483e+00
2.040816300000000139e-01,9.061660579999999854e+00,9.852974471000000278e+01,5.757204714133760781e+00
2.244897999999999894e-01,9.511036009999999763e+00,9.831369852999999637e+01,5.750889338658152106e+00
2.448979599999999979e-01,9.941230060000000535e+00,9.809203829000000496e+01,5.744402639157182300e+00
2.653061199999999786e-01,1.035460675000000030e+01,9.786518943000000093e+01,5.737756506183579575e+00
2.857142899999999819e-01,1.075309988999999966e+01,9.763344442999999728e+01,5.730958969164933414e+00
3.061224499999999904e-01,1.113831957999999922e+01,9.739699898000000644e+01,5.724015239049595749e+00
3.265306099999999989e-01,1.151164078000000046e+01,9.715597212999999499e+01,5.716928285760806361e+00
3.469387800000000022e-01,1.187425780000000053e+01,9.691043372999999406e+01,5.709699633673560371e+00
3.673469400000000107e-01,1.222721635999999990e+01,9.666041868000000647e+01,5.702329773342822428e+00
3.877551000000000192e-01,1.257142857000000014e+01,9.640594036000000244e+01,5.694818551727877320e+00
4.081632700000000225e-01,1.290769230999999984e+01,9.614700200999999424e+01,5.687165504551805917e+00
4.285714299999999755e-01,1.323671494999999965e+01,9.588360233000000221e+01,5.679370019976863304e+00
4.489795899999999840e-01,1.355912677999999971e+01,9.561573948999999573e+01,5.671431456381712977e+00
4.693877599999999872e-01,1.387549008000000050e+01,9.534341342999999824e+01,5.663349210304093440e+00
4.897959199999999957e-01,1.418630837000000078e+01,9.506662679000000082e+01,5.655122744216609654e+00
5.102040799999999487e-01,1.449203989999999997e+01,9.478538512000000082e+01,5.646751593116877466e+00
5.306122399999999573e-01,1.479310345000000027e+01,9.449969710000000589e+01,5.638235371500554649e+00
5.510204100000000160e-01,1.508988541999999988e+01,9.420957472999999993e+01,5.629573779530027799e+00
5.714285700000000245e-01,1.538274529999999984e+01,9.391503335000000163e+01,5.620766604204447958e+00
5.918367300000000331e-01,1.567201930999999959e+01,9.361609178000000497e+01,5.611813724170823470e+00
6.122448999999999808e-01,1.595802330999999974e+01,9.331277240000000006e+01,5.602715112814499854e+00
6.326530599999999893e-01,1.624105541000000130e+01,9.300510117000000321e+01,5.593470839611841328e+00
6.530612199999999978e-01,1.652139865999999913e+01,9.269310771000000670e+01,5.584081073340895429e+00
6.734693899999999456e-01,1.679932309000000146e+01,9.237682528999999931e+01,5.574546082647088063e+00
6.938775499999999541e-01,1.707508724999999927e+01,9.205629079000000559e+01,5.564866235746911194e+00
7.142857099999999626e-01,1.734893956999999887e+01,9.173154465999999729e+01,5.555042000167414784e+00
7.346938800000000214e-01,1.762112056999999865e+01,9.140263086000000214e+01,5.545073941914931304e+00
7.551020400000000299e-01,1.789186305000000132e+01,9.106959680999999307e+01,5.534962724976925763e+00
7.755102000000000384e-01,1.816139318000000102e+01,9.073249334999999860e+01,5.524709111160514219e+00
7.959183699999999861e-01,1.842993055000000169e+01,9.039137467000000470e+01,5.514313959051297509e+00
8.163265299999999947e-01,1.869768922000000089e+01,9.004629821000000334e+01,5.503778222080174309e+00
8.367346900000000032e-01,1.896487772000000049e+01,8.969732458000000008e+01,5.493102947215899867e+00
8.571428599999999509e-01,1.923170001000000084e+01,8.934451744000000417e+01,5.482289272449603068e+00
8.775510199999999594e-01,1.949835536999999874e+01,8.898794345999999678e+01,5.471338426742033967e+00
8.979591799999999679e-01,1.976503831000000133e+01,8.862767221999999379e+01,5.460251728153932227e+00
9.183673500000000267e-01,2.003193943999999860e+01,8.826377612999999656e+01,5.449030582602009787e+00
9.387755100000000352e-01,2.029924533000000153e+01,8.789633035999999322e+01,5.437676482938645250e+00
9.591836700000000437e-01,2.056713932999999983e+01,8.752541277000000264e+01,5.426191008048647291e+00
9.795918399999999915e-01,2.083580145999999900e+01,8.715110387999999375e+01,5.414575823204621052e+00
1.000000000000000000e+00,2.110540860000000052e+01,8.677348682000000224e+01,5.402832679830830820e+00
